id_provincia;provincia;id_departamento;departamento;id_cultivo;cultivo;id_campaña;campaña;sup_sembrada;sup_cosechada;produccion ;rendimiento
6;Buenos Aires;854;25 de Mayo;5;Avena;27;1995/1996;2000;500;1200;2400
6;Buenos Aires;588;9 de Julio;5;Avena;27;1995/1996;20000;2000;3200;1600
6;Buenos Aires;7;Adolfo Alsina;5;Avena;27;1995/1996;31000;3000;4300;1433
6;Buenos Aires;14;Adolfo Gonzales Chaves;5;Avena;27;1995/1996;7000;3000;6000;2000
6;Buenos Aires;21;Alberti;5;Avena;27;1995/1996;5000;500;800;1600
6;Buenos Aires;77;Arrecifes;5;Avena;27;1995/1996;250;250;336;1344
6;Buenos Aires;42;Ayacucho;5;Avena;27;1995/1996;2800;300;300;1000
6;Buenos Aires;49;Azul;5;Avena;27;1995/1996;7500;750;900;1200
6;Buenos Aires;56;Bahia Blanca;5;Avena;27;1995/1996;8000;400;320;800
6;Buenos Aires;63;Balcarce;5;Avena;27;1995/1996;6300;600;800;1333
6;Buenos Aires;70;Baradero;5;Avena;27;1995/1996;180;180;256;1422
6;Buenos Aires;84;Benito Juarez;5;Avena;27;1995/1996;6750;650;740;1138
6;Buenos Aires;105;Bolivar;5;Avena;27;1995/1996;3000;600;1080;1800
6;Buenos Aires;112;Bragado;5;Avena;27;1995/1996;12000;1200;1900;1583
6;Buenos Aires;134;Canuelas;5;Avena;27;1995/1996;400;200;400;2000
6;Buenos Aires;140;Capitan Sarmiento;5;Avena;27;1995/1996;220;220;341;1550
6;Buenos Aires;147;Carlos Casares;5;Avena;27;1995/1996;8700;1300;2500;1923
6;Buenos Aires;154;Carlos Tejedor;5;Avena;27;1995/1996;6000;900;900;1000
6;Buenos Aires;161;Carmen de Areco;5;Avena;27;1995/1996;500;200;225;1125
6;Buenos Aires;168;Castelli;5;Avena;27;1995/1996;500;0;0;0
6;Buenos Aires;210;Chacabuco;5;Avena;27;1995/1996;2600;800;1280;1600
6;Buenos Aires;217;Chascomus;5;Avena;27;1995/1996;600;200;400;2000
6;Buenos Aires;224;Chivilcoy;5;Avena;27;1995/1996;12000;1200;1900;1583
6;Buenos Aires;175;Colon;5;Avena;27;1995/1996;230;230;438;1904
6;Buenos Aires;182;Coronel de Marina L Rosales;5;Avena;27;1995/1996;3000;200;160;800
6;Buenos Aires;189;Coronel Dorrego;5;Avena;27;1995/1996;14500;6500;7800;1200
6;Buenos Aires;196;Coronel Pringles;5;Avena;27;1995/1996;10500;4500;8100;1800
6;Buenos Aires;203;Coronel Suarez;5;Avena;27;1995/1996;20000;4000;6000;1500
